Compound_id;Compound_common_name;Compound_synonyms;Molecular_weight;Chemical_formula;Smiles;Links;EC;Reaction_equation;Pathway
CPD-10504;peonidin-3-(p-coumaroyl)-rutinoside-5-glucoside;;917.847;C43 H49 O22 ;CC7(OC(OCC5(OC(OC4(C=C2(C(C=C(O)C=C(OC1(OC(CO)C(O)C(O)C(O)1))2)=[O+]C(C3(C=C(OC)C(O)=CC=3))=4)))C(O)C(O)C(O)5))C(O)C(O)C(OC(C=CC6(C=CC(O)=CC=6))=O)7);PUBCHEM:23724700;RXN-9795;peonidin 3,5-diglucoside  ->  peonidin-3-(p-coumaroyl)-rutinoside-5-glucoside;peonidin and derivatives biosynthesis
CPD-14276;(3R)-3-hydroxy-behenoyl-CoA;(3<i>R</i>)-3-hydroxy-docosanoyl-CoA;1102.075;C43 H74 N7 O18 P3 S1 ;CCCCCCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(C(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OCC1(C(OP(=O)([O-])[O-])C(O)C(O1)N3(C=NC2(C(N)=NC=NC=23))))=O;PUBCHEM:72193817*CHEBI:76375;EC-4.2.1.134;(3R)-3-hydroxy-behenoyl-CoA  ->  trans-docos-2-enoyl-CoA + H2O;very long chain fatty acid biosynthesis II
CPD-9249;ginsenoside Rd;;947.165;C48 H82 O18 ;CC(C)=CCCC(C)(OC1(OC(CO)C(C(O)C(O)1)O))[CH]5(CCC6(C7(C)(CC[CH]2(C(C)(CCC(C(C)(C)2)OC4(OC(CO)C(C(O)C(OC3(OC(CO)C(C(O)C(O)3)O))4)O))[CH](CC(O)[CH]56)7)))(C));PUBCHEM:25203001*LIGAND-CPD:C20725*PUBCHEM:11679800*METABOLIGHTS:MTBLC67988*CHEBI:67988;EC-2.4.1.314;UDP-alpha-D-glucose + ginsenoside Rd  ->  ginsenoside Rb1 + UDP + H+;ginsenosides biosynthesis
CPD-11523;3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3R-hydroxyhexanoyl)-CoA;OPC6-3-hydroxyacyl-CoA;1027.866;C37 H56 N7 O19 P3 S1 ;CCC=CCC1(C(CCC(=O)1)CCCC(O)CC(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-])=O);PUBCHEM:126961082*PUBCHEM:44237226;EC-1.1.1.35;3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3R-hydroxyhexanoyl)-CoA + NAD+  ->  3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxohexanoyl)-CoA + NADH + H+;jasmonic acid biosynthesis
CPD-9214;alpha-chaconine;;853.078;C45 H74 N1 O14 ;CC8(CCC9(C(C)C3(C(CC2(C4(CC=C1(CC(CCC(C)1C(CCC(C)23)4)OC5(C(C(C(C(CO)O5)OC6(C(C(C(C(C)O6)O)O)O))O)OC7(C(C(C(C(C)O7)O)O)O))))))[N+](C8)9)));HMDB:HMDB39353*PUBCHEM:25244450*LIGAND-CPD:C10796;EC-2.4.1;beta-chaconine + UDP-beta-L-rhamnose  ->  alpha-chaconine + UDP + H+;alpha-solanine/alpha-chaconine biosynthesis
CPD-8656;cyclo-dopa 5-O-glucoside;;356.308;C15 H18 N1 O9 ;C(C3(C(C(C(C(OC1(=CC2(CC(NC(C=C1O)=2)C([O-])=O)))O3)O)O)O))O;PUBCHEM:90657973*PUBCHEM:25245709;EC-2.4.1;cyclo-dopa 5-O-glucoside + UDP-alpha-D-glucuronate  ->  cyclo-dopa glucuronosyl glucoside + UDP + H+;amaranthin biosynthesis
METHYL-MALONYL-COA;(R)-methylmalonyl-CoA;L-methylmalonyl-CoA*methylmalonyl-CoA*methyl-malonyl-coenzyme A*CH3-malonyl-CoA;862.568;C25 H35 N7 O19 P3 S1 ;CC(C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])C([O-])=O;REFMET:|Methylmalonyl-CoA|*PUBCHEM:45266560*BIGG:mmcoa__R*CHEBI:15465*METABOLIGHTS:MTBLC57326*CHEBI:57326*BIGG:37090*PUBCHEM:25244768*LIGAND-CPD:C01213;EC-1.3.1.85;(R)-methylmalonyl-CoA + NADP+  <-  acryloyl-CoA + CO2 + NADPH;crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)
CPD-196;octanoyl-CoA;Octanoyl-CoA (n-C8:0CoA)*capryloyl-CoA;889.7;C29 H46 N7 O17 P3 S1 ;CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-];REFMET:Octanoyl-CoA*BIGG:occoa*METABOLIGHTS:MTBLC57386*HMDB:HMDB01070*BIGG:38747*CHEBI:57386*PUBCHEM:25245711*LIGAND-CPD:C01944;EC-1.3.3.6;octanoyl-CoA + oxygen  ->  (2E)-oct-2-enoyl-CoA + hydrogen peroxide;6-gingerol analog biosynthesis (engineered)
GDP-D-GLUCOSE;GDP-alpha-D-glucose;GDP-glucose;603.329;C16 H23 N5 O16 P2 ;C(O)C1(C(O)C(O)C(O)C(O1)OP([O-])(=O)OP([O-])(=O)OCC2(OC(C(O)C(O)2)N4(C=NC3(C(=O)NC(N)=NC=34))));REFMET:GDP-glucose*PUBCHEM:52921606*CHEBI:58127*CHEBI:62230*HMDB:HMDB03351*PUBCHEM:25244464*LIGAND-CPD:C00394;EC-5.1.3;GDP-alpha-D-glucose  ->  GDP-alpha-D-mannose;extended VTC2 cycle
CPD-7140;bisdemalonylsalvianin;pelargonidin 3-<i>O</i>-(6-caffeoyl-&beta;;;;;;;
CPD-9711;dalcochinin;12-dihydroamorphigenin;412.438;C23 H24 O7 ;C=C(C5(OC4(C=CC3(C(C2(C1(C=C(C(=CC=1OCC2OC=3C=4C5)OC)OC)))O))))CO;PUBCHEM:25203053;EC-3.2.1;dalcochinin-8'-O-beta-glucoside + H2O  ->  dalcochinin + D-glucopyranose;dalcochinin biosynthesis
CPD-16529;cyanidin O-O-[6-O-(6-O-feruloyl-beta-D-glucosyl)-2-O-beta-D-xylosyl-beta-D-galactoside];;917.804;C42 H45 O23 ;COC1(=C(O)C=CC(=C1)C=CC(=O)OCC2(C(O)C(O)C(O)C(O2)OCC4(C(O)C(O)C(OC3(OCC(O)C(O)C(O)3))C(O4)OC6(C(C5(=CC=C(O)C(O)=C5))=[O+]C7(C(C=6)=C([O-])C=C([O-])C=7)))));PUBCHEM:90659093;EC-2.3.1.213;cyanidin 3-O-(6-O-beta-D-glucosyl-2-O-beta-D-xylosyl-beta-D-galactoside) + 1-O-feruloyl-beta-D-glucose  ->  cyanidin O-O-[6-O-(6-O-feruloyl-beta-D-glucosyl)-2-O-beta-D-xylosyl-beta-D-galactoside] + D-glucopyranose + H+;acylated cyanidin galactoside biosynthesis
CPD-13118;GDP-beta-L-fucose;;587.33;C16 H23 N5 O15 P2 ;CC4(OC(OP(OP(OCC3(C(C(C(N2(C1(=C(C(NC(=N1)N)=O)N=C2)))O3)O)O))([O-])=O)([O-])=O)C(C(C4O)O)O);PUBCHEM:25244478*CHEBI:57273*PUBCHEM:45266538;EC-1.1.1.271;GDP-beta-L-fucose + NADP+  <-  GDP-4-dehydro-alpha-D-rhamnose + NADPH + H+;GDP-L-fucose biosynthesis I (from GDP-D-mannose)
CPD-14454;4-O-beta-D-glucosyl-esculetin;;340.286;C15 H16 O9 ;C2(OC3(C(C(OC1(C(C(C(O)C(O1)CO)O)O))=C2)=CC=C(O)C=3))(=O);PUBCHEM:14944048;EC-2.4.1.126;esculetin + UDP-alpha-D-glucose  ->  4-O-beta-D-glucosyl-esculetin + UDP + H+;esculetin modification
BENZOYLCOA;benzoyl-CoA;benzoyl-<i>S</i>-CoA*<i>S</i>-benzoate coenzyme A;867.61;C28 H36 N7 O17 P3 S1 ;CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)C1(=CC=CC=C1))COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-];HMDB:HMDB02252*CHEBI:57369*PUBCHEM:45266596*LIGAND-CPD:C00512*CAS:102185-37-5;EC-2.3.1.166;10-deacetyl-2-debenzoylbaccatin III + benzoyl-CoA  ->  10-deacetylbaccatin III + coenzyme A;taxol biosynthesis
CPD-7075;hesperidin;hesperetin 7-(6-<i>O</i>-&alpha;;;;;;;
CPD-14775;22-carboxy-docosanoyl-CoA;C22:0-DCA-CoA*docosanedioyl coenzyme A*docosanedioic acid-CoA*docosanedioyl-CoA;1115.051;C43 H71 N7 O19 P3 S1 ;CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)[O-])COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-];PUBCHEM:90657401;EC-1.2.1;22-oxo-docosanoyl-CoA + NADP+ + H2O  ->  22-carboxy-docosanoyl-CoA + NADPH + 2 H+;suberin monomers biosynthesis
1-KESTOTRIOSE;1-kestotriose;1-kestose*1<sup>F</sup>-(&beta;;;;;;;
MALTOTRIOSE;maltotriose;Amylotriose*amylotriose*&alpha;;;;;;;
CPD-15000;cyanidin O-O-[6-O-(6-O-4-hydroxycinnamoyl-beta-D-glucosyl)-2-O-beta-D-xylosyl-beta-D-galactoside];;887.777;C41 H43 O22 ;C(OC(C=CC1(=CC=C(O)C=C1))=O)C2(C(O)C(O)C(O)C(O2)OCC4(C(O)C(O)C(OC3(OCC(O)C(O)C(O)3))C(O4)OC6(C(C5(=CC=C(O)C(O)=C5))=[O+]C7(C(C=6)=C([O-])C=C([O-])C=7))));PUBCHEM:90658522*CHEBI:71499;EC-2.3.1.213;cyanidin 3-O-(6-O-beta-D-glucosyl-2-O-beta-D-xylosyl-beta-D-galactoside) + 1-O-(4-coumaroyl)-beta-D-glucose  ->  cyanidin O-O-[6-O-(6-O-4-hydroxycinnamoyl-beta-D-glucosyl)-2-O-beta-D-xylosyl-beta-D-galactoside] + D-glucopyranose + H+;acylated cyanidin galactoside biosynthesis
CPD-16558;delphinidin 3-O-rutinoside-7-O-glucoside;bisdeacylplatyconin;772.666;C33 H40 O21 ;CC6(C(O)C(O)C(O)C(OCC1(C(O)C(O)C(O)C(O1)OC3(C(C2(C=C(O)C(O)=C(O)C=2))=[O+]C5(=C(C=3)C([O-])=CC(OC4(OC(CO)C(O)C(O)C(O)4))=C5))))O6);PUBCHEM:90657987*PUBCHEM:44256894;EC-2.3.1;delphinidin 3-O-rutinoside-7-O-glucoside + 1-O-4-hydroxybenzoyl-beta-D-glucose  ->  delphinidin 3-O-rutinoside-7-O-(6-O-(p-hydroxybenzoyl)-glucoside) + D-glucopyranose;violdelphin biosynthesis
CPD-10283;3-oxo-behenoyl-CoA;3-oxo-docosanoyl-CoA;1100.059;C43 H72 N7 O18 P3 S1 ;CCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(C(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OCC1(C(OP(=O)([O-])[O-])C(O)C(O1)N3(C=NC2(C(N)=NC=NC=23))))=O;REFMET:3-oxodocosanoyl-CoA*CHEBI:71451*PUBCHEM:25203083;EC-1.1.1.330;(3R)-3-hydroxy-behenoyl-CoA + NADP+  <-  3-oxo-behenoyl-CoA + NADPH + H+;very long chain fatty acid biosynthesis II
CPD-14835;curcumin 4'-O-beta-D-gentiotrioside;;854.811;C39 H50 O21 ;COC5(C=C(C=CC(=CC(C=CC1(C=C(C(=CC=1)OC2(C(C(C(C(O2)COC3(C(C(C(C(O3)COC4(C(C(C(C(O4)CO)O)O)O))O)O)O))O)O)O))OC))=O)O)C=CC(O)=5);PUBCHEM:90657988;EC-2.4.1;curcumin 4'-O-beta-D-gentiotrioside + UDP-alpha-D-glucose  ->  curcumin 4'-O-beta-D-gentiotetraside + UDP + H+;curcumin glucoside biosynthesis
CPD-10349;isovitexin-7-O-xyloside;;564.499;C26 H28 O14 ;C(O)C1(OC(C(O)C(O)C(O)1)C4(=C(OC2(OCC(O)C(O)C(O)2))C=C3(OC(=CC(C3=C(O)4)=O)C5(C=CC(O)=CC=5))));PUBCHEM:102514990*PUBCHEM:25201316;EC-2.4.1;isovitexin-7-O-xyloside + UDP-L-arabinose  ->  isovitexin 7-O-xylosyl 2''-O-arabinoside + UDP + H+;isovitexin glycosides biosynthesis
CPD-17641;18-hydroxystearoyl-CoA;&omega;;;;;;;
CPD-14274;3-oxo-cerotoyl-CoA;3-oxohexacosanoyl-CoA;1156.166;C47 H80 N7 O18 P3 S1 ;CCCCCCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(C(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OCC1(C(OP(=O)([O-])[O-])C(O)C(O1)N3(C=NC2(C(N)=NC=NC=23))))=O;REFMET:3-oxohexacosanoyl-CoA*PUBCHEM:71581082*CHEBI:73980;EC-1.1.1.330;(3R)-3-hydroxy-cerotoyl-CoA + NADP+  <-  3-oxo-cerotoyl-CoA + NADPH + H+;very long chain fatty acid biosynthesis II
CPD-18158;isovitexin 7-O-galactoside;;594.525;C27 H30 O15 ;C1(C=C(O)C=CC=1C3(=CC(=O)C4(=C(O)C(=C(OC2(C(C(C(O)C(O2)CO)O)O))C=C(O3)4)C5(OC(CO)C(O)C(O)C(O)5))));PUBCHEM:102514991;EC-2.4.1;isovitexin + UDP-alpha-D-galactose  ->  isovitexin 7-O-galactoside + UDP;isovitexin glycosides biosynthesis
CPD-7960;delphinidin 3-O-glucosyl-5-O-caffeoylglucoside;;788.668;C36 H36 O20 ;C(O)C6(C(O)C(O)C(O)C(OC2(C(C1(C=C(O)C(O)=C(O)C=1))=[O+]C5(=C(C=2)C(OC4(C(O)C(O)C(O)C(COC(=O)C=CC3(C=CC(O)=C(O)C=3))O4))=CC([O-])=C5)))O6);PUBCHEM:25244498*LIGAND-CPD:C16313;EC-2.4.1.298;UDP-alpha-D-glucose + delphinidin 3-O-glucosyl-5-O-caffeoylglucoside  ->  delphinidin 3-O-glucosyl-5-O-(caffeoylglucoside-3'-O-glucoside) + UDP + H+;gentiodelphin biosynthesis
CPD-14553;UDP-alpha-D-galactose;uridine diphosphate galactose*UDP-D-galactopyranose*UDP-galactose*UDP-D-galactose*UDP-&alpha;;;;;;;
CPD-18156;isovitexin 2''-O-arabinoside;;563.491;C26 H27 O14 ;C1(OC(C(C(O)C1OC5(C(O)C(O)C(CO)OC(C2(=C([O-])C=C3(OC(=CC(=O)C(=C(O)2)3)C4(=CC=C(O)C=C4))))5))O)O);PUBCHEM:102514992;EC-2.4.1;UDP-alpha-D-galactose + isovitexin 2''-O-arabinoside  ->  isovitexin 2''-O-arabinosyl 7-O-galactoside + UDP;isovitexin glycosides biosynthesis
CPD-7843;pelargonidin 3-O-sophoroside;;594.525;C27 H30 O15 ;C(C5(OC(OC4(C(OC1(=CC3(C(=CC(=CC([O+]=C1C2(C=CC(=CC=2)O))=3)O)[O-])))OC(C(C4O)O)CO))C(C(C5O)O)O))O;PUBCHEM:90657994*HMDB:HMDB33679*LIGAND-CPD:C16305;EC-2.4.1;UDP-alpha-D-glucose + pelargonidin-3-O-beta-D-glucoside  ->  pelargonidin 3-O-sophoroside + UDP;superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)
CPDQT-523;brassinolide-23-O-glucoside;;642.826;C34 H58 O11 ;CC(C(C(C(C(C)C2(C3(CCC4(C1(CC(C(C[CH]1C(=O)OCC([CH](CC2)3)4)O)O)C))(C)))O)OC5(OC(CO)C(O)C(O)C(O)5))C)C;PUBCHEM:102515310;EC-2.4.1;brassinolide + UDP-alpha-D-glucose  ->  brassinolide-23-O-glucoside + UDP + H+;brassinosteroids inactivation
CPD-16537;"cyanidin 3-O-[2\""-O-(xylosyl)-6\""-O-(p-coumaroyl) glucoside] 5-O-glucoside";arabidopsis anthocyanin A3;889.793;C41 H45 O22 ;C(O)C7(C(O)C(O)C(O)C(OC6(=C4(C([O+]=C(C(OC2(OC(C(O)C(O)C(OC1(OCC(O)C(O)C(O)1))2)COC(C=CC3(C=CC(O)=CC=3))=O))=C4)C5(=CC(O)=C(O)C=C5))=CC(O)=C6)))O7);PUBCHEM:6602295;EC-2.3.1;"cyanidin 3-O-[2\""-O-(xylosyl)-6\""-O-(p-coumaroyl) glucoside] 5-O-glucoside + malonyl-CoA + H+  ->  cyanidin 3-O-[2\""-O-(xylosyl)-6\""-O-(p-coumaroyl) glucoside] 5-O-malonylglucoside + coenzyme A";anthocyanidin modification (Arabidopsis)
CPD-15079;2-hydroxyeriodictyol;;304.256;C15 H12 O7 ;C1(C=C(O)C(O)=CC=1C2(O)(OC3(C(C(=O)C2)=C(O)C=C(O)C=3)));PUBCHEM:90657995;RXN-14078;2-hydroxyeriodictyol  <-->  1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propane-1,3-dione + H+ + H+;UDP-alpha-D-glucose + 2-hydroxyeriodictyol  ->  1-(3,4-dihydroxyphenyl)-3-(3-C-glucosyl-2,4,6-trihydroxyphenyl)propane-1,3-dione + UDP + 2 H+
CPD-12733;rutinose;6-O-&alpha;;;;;;;
CPD-4612;trans-zeatin-7-N-glucoside;;381.388;C16 H23 N5 O6 ;CC(=CCNC1(C2(=C(N=CN=1)N=CN2C3(C(C(C(C(O3)CO)O)O)O))))CO;PUBCHEM:25245759;EC-2.4.1;UDP-alpha-D-glucose + trans-zeatin  ->  trans-zeatin-7-N-glucoside + UDP + H+;cytokinins 7-N-glucoside biosynthesis
CPD-3422;malonylgenistin;;517.422;C24 H21 O13 ;C3(OC4(=CC(OC1(C(O)C(C(O)C(COC(CC([O-])=O)=O)O1)O))=CC(O)=C(C(=O)C(C2(=CC=C(C=C2)O))=3)4));PUBCHEM:90658001*HMDB:HMDB29529*PUBCHEM:25245762*LIGAND-CPD:C16192;RXN-3592;malonylgenistin + H2O  ->  malonate + genistin + H+;genistein conjugates interconversion
CPD-7612;soyasapogenol B-3-O-beta-glucuronide;;633.841;C36 H57 O9 ;CC4(C)(C[CH]3(C2(=CC[CH]1(C6(C)([CH](CCC(C)1C(C)2CCC(C)3C(O)C4)C(C)(CO)C(OC5(OC(C(=O)[O-])C(O)C(O)C(O)5))CC6)))));PUBCHEM:53239764*CHEBI:62441*PUBCHEM:52940149;EC-2.4.1.272;UDP-alpha-D-galactose + soyasapogenol B-3-O-beta-glucuronide  ->  UDP + soyasaponin III + H+;soybean saponin I biosynthesis
SUC-COA;succinyl-CoA;suc-coa*succ-coenzyme-A*succ-<i>S</i>-coenzyme-A*succinyl-S-coenzyme-A*succ-<i>S</i>-CoA*succinylcoenzyme-A*succ-CoA*suc-co-A*succinyl-<i>S</i>-CoA*succinyl-coenzyme A;862.568;C25 H35 N7 O19 P3 S1 ;CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-])COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-];REFMET:Succinyl-CoA*PUBCHEM:45266545*BIGG:succoa*CHEBI:57292*METABOLIGHTS:MTBLC57292*HMDB:HMDB01022*BIGG:33820*PUBCHEM:25245777*LIGAND-CPD:C00091*CAS:604-98-8;EC-2.3.1.61;succinyl-CoA + a [2-oxoglutarate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine  <-->  a [2-oxoglutarate dehydrogenase E2 protein] N6-S-succinyldihydrolipoyl-L-lysine + coenzyme A;2-oxoglutarate decarboxylation to succinyl-CoA
CPD-7231;mugineate;mugineic acid;318.283;C12 H18 N2 O8 ;C1(CC(C([O-])=O)N1CC(O)C([N+]CCC(O)C(=O)[O-])C(=O)[O-]);PUBCHEM:45266663*CHEBI:58505*PUBCHEM:25201351*LIGAND-CPD:C15500;EC-1.14.11.25;mugineate + 2-oxoglutarate + oxygen  ->  3-epihydroxymugineate + succinate + CO2;hydroxylated mugineic acid phytosiderophore biosynthesis
STEAROYL-COA;stearoyl-CoA;Stearoyl-CoA (n-C18:0CoA)*stearyl-CoA*stearyl coenzyme A;1029.968;C39 H66 N7 O17 P3 S1 ;CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(C(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OCC1(C(OP(=O)([O-])[O-])C(O)C(O1)N3(C=NC2(C(N)=NC=NC=23))))=O;REFMET:Stearoyl-CoA*PUBCHEM:45266614*BIGG:stcoa*CHEBI:57394*METABOLIGHTS:MTBLC57394*HMDB:HMDB01114*BIGG:1451385*PUBCHEM:25245778*LIGAND-CPD:C00412*CAS:362-66-3;EC-2.3.1.199;stearoyl-CoA + malonyl-CoA + H+  ->  3-oxoicosanoyl-CoA + CO2 + coenzyme A;very long chain fatty acid biosynthesis II
CPD-18097;cyanidin 3-O-beta-D-(caffeoyl)-sambubioside;cyanidin 3-<i>O</i>-[2\*-<i>O</i>-xylosyl;742.643;C35 H34 O18 ;C1(C=C(O)C(O)=CC=1C=CC(=O)OCC6(OC(OC3(C(=[O+]C2(C(=C([O-])C=C(O)C=2)C=3))C4(=CC(O)=C(O)C=C4)))C(OC5(OCC(O)C(O)C(O)5))C(O)C(O)6));PUBCHEM:102515449;EC-2.3.1;cyanidin 3-O-beta-D-sambubioside + trans-caffeoyl-CoA + H+  ->  cyanidin 3-O-beta-D-(caffeoyl)-sambubioside + coenzyme A;anthocyanidin acylglucoside and acylsambubioside biosynthesis
CPD-264;3-hydroxybenzoyl-CoA;;883.61;C28 H36 N7 O18 P3 S1 ;CC(C)(C(O)C(NCCC(=O)NCCSC(C1(C=C(C=CC=1)O))=O)=O)COP(OP(OCC2(C(OP([O-])(=O)[O-])C(C(O2)N3(C=NC4(=C3N=CN=C(N)4)))O))(=O)[O-])([O-])=O;CHEBI:15484*CHEBI:1539*PUBCHEM:25244521*LIGAND-CPD:C05195;EC-2.3.1.151;3-hydroxybenzoyl-CoA + 3 malonyl-CoA + 3 H+  ->  3 CO2 + 2,3',4,6-tetrahydroxybenzophenone + 4 coenzyme A;tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)
CPD-14431;4-O- beta -D-glucosyl-daphnetin;;340.286;C15 H16 O9 ;C2(OC3(=C(C(OC1(C(C(C(O)C(O1)CO)O)O))=C2)C=CC=C(O)3))(=O);PUBCHEM:90657434;EC-2.4.1.126;UDP-alpha-D-glucose + daphnetin  ->  UDP + 4-O- beta -D-glucosyl-daphnetin + H+;daphnetin modification
CPD-7260;kaempferol 3-O-beta-D-galactoside;trifolin;447.374;C21 H19 O11 ;C(C4(OC(OC2(=C(C1(C=CC(O)=CC=1))OC3(=CC([O-])=CC(=C(C2=O)3)O)))C(C(O)C4O)O))O;CHEBI:76104*PUBCHEM:25201364*LIGAND-CPD:C12626;EC-2.4.1;UDP-alpha-D-glucose + kaempferol 3-O-beta-D-galactoside + UDP-alpha-D-glucose  ->  UDP + kaempferol 3-O-beta-D-glucosylgalactoside + UDP + H+ + H+;kaempferol diglycoside biosynthesis (pollen-specific)
CPD-14989;quercetin 3-O-(3'-O-p-coumaroyl)-glucoside;;610.527;C30 H26 O14 ;C(OC4(C(O)C(OC3(C(=O)C1(C(=CC(O)=CC(O)=1)OC(C2(C=C(O)C(O)=CC=2))=3)))OC(C(O)4)CO))(=O)C=CC5(C=CC(O)=CC=5);PUBCHEM:23265182;EC-2.3.1;4-coumaroyl-CoA + quercetin-3-glucoside + quercetin-3-glucoside + 4-coumaroyl-CoA + H+ + H+  ->  quercetin 3-O-(3'-O-p-coumaroyl)-glucoside + coenzyme A + coenzyme A;flavonol acylglucoside biosynthesis III - quercetin derivatives
CPD-11529;(+)-7-epi-jasmonoyl-CoA;(+)-7-iso-jasmonoyl-CoA;955.76;C33 H48 N7 O18 P3 S1 ;CCC=CCC1(C(=O)CCC1CC(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-])=O);PUBCHEM:126961028*PUBCHEM:44237154;EC-3.1.2.20;(+)-7-epi-jasmonoyl-CoA + H2O  ->  (+)-7-epi-jasmonate + coenzyme A + H+;jasmonic acid biosynthesis
CPD-16560;delphinidin 3-O-rutinoside-7-O-(6-O-(4-O-(glucosyl)-oxybenzoyl)-glucoside);;1054.916;C46 H54 O28 ;CC8(C(O)C(O)C(O)C(OCC1(C(O)C(O)C(O)C(O1)OC3(C(C2(C=C(O)C(O)=C(O)C=2))=[O+]C7(C(C=3)=C([O-])C=C(OC6(OC(COC(=O)C5(C=CC(OC4(OC(CO)C(O)C(O)C(O)4))=CC=5))C(O)C(O)C(O)6))C=7))))O8);PUBCHEM:90658013;EC-2.3.1;delphinidin 3-O-rutinoside-7-O-(6-O-(4-O-(glucosyl)-oxybenzoyl)-glucoside) + 1-O-4-hydroxybenzoyl-beta-D-glucose  ->  violdelphin + D-glucopyranose;violdelphin biosynthesis
CPD-7059;narirutin;naringenin-7-O-rutinoside;580.541;C27 H32 O14 ;CC1(OC(C(O)C(O)C(O)1)OCC2(C(O)C(O)C(O)C(O2)OC5(C=C(O)C4(C(=O)CC(C3(=CC=C(O)C=C3))OC=4C=5))));PUBCHEM:442431*METABOLIGHTS:MTBLC28705*HMDB:HMDB33740*LIPID_MAPS:LMPK12140236*CHEBI:28705*PUBCHEM:25244529*LIGAND-CPD:C09793;EC-2.4.1;UDP-beta-L-rhamnose + prunin  ->  narirutin + UDP + H+;naringenin glycoside biosynthesis
UDP-GLUCURONATE;UDP-alpha-D-glucuronate;(UDP-GlcA)1*UDP-D-glucuronic acid*UDP-glucuronic acid*udp-glcua*UDP-glucuronate*uridine diphosphate glucuronate*uridine diphosphate glucuronic acid*UDP-D-glucuronate;577.265;C15 H19 N2 O18 P2 ;C(C1(OC(C(O)C(O)1)N2(C=CC(=O)NC(=O)2)))OP(=O)([O-])OP(=O)([O-])OC3(OC(C([O-])=O)C(O)C(O)C(O)3);REFMET:UDP-glucuronic acid*BIGG:udpglcur*METABOLIGHTS:MTBLC58052*HMDB:HMDB00935*BIGG:34117*CHEBI:58052*PUBCHEM:25202620*LIGAND-CPD:C00167*CAS:2616-64-0;EC-2.4.1;cyclo-dopa 5-O-glucoside + UDP-alpha-D-glucuronate  ->  cyclo-dopa glucuronosyl glucoside + UDP + H+;amaranthin biosynthesis
CPD-8676;celosianin II;feruloylamaranthin;900.756;C40 H40 N2 O22 ;COC1(C=C(C=CC=1O)C=CC(OC2(C(OC(C(C2O)O)C([O-])=O)OC3(C(O)C(C(CO)OC3OC4(=C(O)C=C6(C(=C4)CC(C([O-])=O)[N+](=CC=C5(C=C([N+]C(C(=O)[O-])C5)C(=O)[O-]))6)))O)))=O);PUBCHEM:122706444*PUBCHEM:90658544*PUBCHEM:54740338*LIGAND-CPD:C08542;EC-2.3.1;amaranthin + 1-O-feruloyl-beta-D-glucose  ->  celosianin II + D-glucopyranose;amaranthin biosynthesis
